"name","RTE","selected","shared name"
"MBP","","false","MBP"
"AluJo","Yes","false","AluJo"
"AluSq2","Yes","false","AluSq2"
"PLP1","","false","PLP1"
"AluSz","Yes","false","AluSz"
"PCDH9","","false","PCDH9"
"AluYa5","Yes","false","AluYa5"
"AluYb8","Yes","false","AluYb8"
"MLT1A1","Yes","false","MLT1A1"
"CELF2","","false","CELF2"
"L1M2a","Yes","false","L1M2a"
"ENSG00000288899","","false","ENSG00000288899"
"HERVK13.int","Yes","false","HERVK13.int"
"ERVK13.1","","false","ERVK13.1"
"PWRN1","","false","PWRN1"
"ERVL47.int","Yes","true","ERVL47.int"
"HERVH.int","Yes","false","HERVH.int"
"MEG8","","false","MEG8"
"HERVI.int","Yes","false","HERVI.int"
"SNTG1","","false","SNTG1"
"L1M2b","Yes","false","L1M2b"
"TALAM1","","false","TALAM1"
"L1M4c","Yes","false","L1M4c"
"MALAT1","","false","MALAT1"
"HSPA1A","","false","HSPA1A"
"LINC00632","","false","LINC00632"
"L1MA10","Yes","false","L1MA10"
"NEAT1","","false","NEAT1"
"L1MB7","Yes","false","L1MB7"
"L1ME5","Yes","false","L1ME5"
"MEG3","","false","MEG3"
"GRIA2","","false","GRIA2"
"MEF2C","","false","MEF2C"
"L1P2","Yes","false","L1P2"
"RIMS2","","false","RIMS2"
"L1P4d","Yes","false","L1P4d"
"CHD5","","false","CHD5"
"L1PA10","Yes","false","L1PA10"
"L1PA12","Yes","false","L1PA12"
"CAMK2A","","false","CAMK2A"
"L1PA4","Yes","false","L1PA4"
"ENSG00000280234","","false","ENSG00000280234"
"L1PA5","Yes","false","L1PA5"
"DST","","false","DST"
"L1PA7","Yes","false","L1PA7"
"L1PB3","Yes","false","L1PB3"
"L1PBa","Yes","false","L1PBa"
"NRGN","","false","NRGN"
"CELF5","","false","CELF5"
"L1PBa1","Yes","false","L1PBa1"
"MYT1L","","false","MYT1L"
"L2a","Yes","false","L2a"
"L2b","Yes","false","L2b"
"LTR46.int","Yes","false","LTR46.int"
"LINC01278","","false","LINC01278"
"ENSG00000286403","","false","ENSG00000286403"
"LTR12","Yes","false","LTR12"
"LINC01322","","false","LINC01322"
"LTR16B","Yes","false","LTR16B"
"DANCR","","false","DANCR"
"LTR21A","Yes","false","LTR21A"
"UNC79","","false","UNC79"
"LTR49.int","Yes","false","LTR49.int"
"ENSG00000268027","","false","ENSG00000268027"
"LTR5A","Yes","false","LTR5A"
"SLITRK5","","false","SLITRK5"
"LTR68","Yes","false","LTR68"
"LTR26","Yes","false","LTR26"
"MamGyp.int","Yes","false","MamGyp.int"
"RAB3C","","false","RAB3C"
"MamGypLTR2c","Yes","false","MamGypLTR2c"
"SRRM4","","false","SRRM4"
"MER110","Yes","false","MER110"
"MER67C","Yes","false","MER67C"
"MIRb","Yes","false","MIRb"
"ENSG00000258663","","false","ENSG00000258663"
"MLT1I","Yes","false","MLT1I"
"MLT1M","Yes","false","MLT1M"
